Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188331168	303.269025	303.269025	303.269025	303.269025	0	0	0	0	0	0	3
2	1	0	0.0376662336	303.439689	303.354357	303.269025	303.439689	0.0853322639	0	0	0	0	0	3
3	1	0	0.0564993504	303.553984	303.420899	303.269025	303.553984	0.151874462	0	0	0	0	0	3
4	1	0	0.0753324672	303.666166	303.482216	303.269025	303.666166	0.213191201	0	0	0	0	0	3
5	2	0	0.094165584	303.807436	303.54726	303.269025	303.807436	0.27823523	0	0	0	0	0	3
6	2	0	0.112998701	303.996705	303.622168	303.269025	303.996705	0.353142808	0	0	0	0	0	3
7	2	0	0.131831818	304.252869	303.712268	303.269025	304.252869	0.443243079	0	0	0	0	0	3
8	2	0	0.150664934	304.601618	303.823437	303.269025	304.601618	0.554411806	0	0	0	0	0	3
9	2	0	0.169498051	305.06075	303.960916	303.269025	305.06075	0.691891053	0	0	0	0	0	3
10	3	0	0.188331168	305.626318	304.127456	303.269025	305.626318	0.85843123	0	0	0	0	0	3
11	3	0	0.207164285	308.026749	304.481937	303.269025	308.026749	1.21291243	0	0	0	0	0	3
12	3	0	0.225997402	308.953158	304.854539	303.269025	308.953158	1.5855142	0	0	0	0	0	3
13	4	0	0.244830518	309.212728	305.189784	303.269025	309.212728	1.92075948	0	0	0	0	0	3
14	4	0	0.263663635	309.344396	305.486542	303.269025	309.344396	2.21751747	0	0	0	0	0	3
15	4	0	0.282496752	309.443779	305.750358	303.269025	309.443779	2.48133327	0	0	0	0	0	3
16	4	0	0.301329869	309.558579	305.988372	303.269025	309.558579	2.71934708	0	0	0	0	0	3
17	4	0	0.320162986	309.647723	306.203628	303.269025	309.647723	2.93460305	0	0	0	0	0	3
18	5	0	0.338996102	309.72259	306.399126	303.269025	309.72259	3.13010096	0	0	0	0	0	3
19	5	0	0.357829219	309.788698	306.577524	303.269025	309.788698	3.30849949	0	0	0	0	0	3
20	5	0	0.376662336	309.847712	306.741034	303.269025	309.847712	3.47200888	0	0	0	0	0	3
21	5	0	0.395495453	309.930385	306.892908	303.269025	309.930385	3.62388276	0	0	0	0	0	3
22	6	0	0.41432857	310.008284	307.034516	303.269025	310.008284	3.76549077	0	0	0	0	0	3
23	6	0	0.433161686	310.078648	307.166869	303.269025	310.078648	3.89784434	0	0	0	0	0	3
24	6	0	0.451994803	310.141248	307.290802	303.269025	310.141248	4.02177681	0	0	0	0	0	3
25	6	0	0.47082792	310.202006	307.40725	303.269025	310.202006	4.13822497	0	0	0	0	0	3
26	7	0	0.489661037	310.282072	307.51782	303.269025	310.282072	4.24879507	0	0	0	0	0	3
27	7	0	0.508494154	310.357346	307.622987	303.269025	310.357346	4.35396271	0	0	0	0	0	3
28	7	0	0.52732727	310.432914	307.888317	303.439689	310.432914	4.53395967	0	0	0	0	0	3
29	7	0	0.546160387	310.497303	308.14971	303.553984	310.497303	4.72881058	0	0	0	0	0	3
30	7	0	0.564993504	310.550828	308.408852	303.666166	310.550828	4.92663624	0	0	0	0	0	3
31	8	0	0.583826621	310.613429	308.666158	303.807436	310.613429	5.11889824	0	0	0	0	0	3
