Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188331168	300.000032	300.000032	300.000032	300.000032	0	0	0	0	0	0	3
2	1	0	0.0376662336	300.000078	300.000055	300.000032	300.000078	2.33944918e-05	0	0	0	0	0	3
3	1	0	0.0564993504	300.000125	300.000078	300.000032	300.000125	4.66568725e-05	0	0	0	0	0	3
4	1	0	0.0753324672	300.000174	300.000102	300.000032	300.000174	7.05575807e-05	0	0	0	0	0	3
5	2	0	0.094165584	300.000232	300.000128	300.000032	300.000232	9.64389951e-05	0	0	0	0	0	3
6	2	0	0.112998701	300.000389	300.000172	300.000032	300.000389	0.000140000189	0	0	0	0	0	3
7	2	0	0.131831818	300.00102	300.000293	300.000032	300.00102	0.000261152318	0	0	0	0	0	3
8	2	0	0.150664934	300.00393	300.000747	300.000032	300.00393	0.000715797972	0	0	0	0	0	3
9	2	0	0.169498051	300.008989	300.001663	300.000032	300.008989	0.0016315312	0	0	0	0	0	3
10	3	0	0.188331168	300.01144	300.002641	300.000032	300.01144	0.00260924714	0	0	0	0	0	3
11	3	0	0.207164285	300.019589	300.004182	300.000032	300.019589	0.00414998769	0	0	0	0	0	3
12	3	0	0.225997402	300.028034	300.006169	300.000032	300.028034	0.00613766572	0	0	0	0	0	3
13	4	0	0.244830518	300.035388	300.008417	300.000032	300.035388	0.0083852283	0	0	0	0	0	3
14	4	0	0.263663635	300.041972	300.010814	300.000032	300.041972	0.0107820053	0	0	0	0	0	3
15	4	0	0.282496752	300.047498	300.013259	300.000032	300.047498	0.0132276099	0	0	0	0	0	3
16	4	0	0.301329869	300.054681	300.015848	300.000032	300.054681	0.0158164664	0	0	0	0	0	3
17	4	0	0.320162986	300.060872	300.018496	300.000032	300.060872	0.0184649259	0	0	0	0	0	3
18	5	0	0.338996102	300.066618	300.02117	300.000032	300.066618	0.0211383373	0	0	0	0	0	3
19	5	0	0.357829219	300.072209	300.023856	300.000032	300.072209	0.0238245909	0	0	0	0	0	3
20	5	0	0.376662336	300.077675	300.026547	300.000032	300.077675	0.0265155338	0	0	0	0	0	3
21	5	0	0.395495453	300.085347	300.029347	300.000032	300.085347	0.0293155449	0	0	0	0	0	3
22	6	0	0.41432857	300.092085	300.032199	300.000032	300.092085	0.0321672516	0	0	0	0	0	3
23	6	0	0.433161686	300.097631	300.035044	300.000032	300.097631	0.0350121452	0	0	0	0	0	3
24	6	0	0.451994803	300.102105	300.037838	300.000032	300.102105	0.0378063562	0	0	0	0	0	3
25	6	0	0.47082792	300.105749	300.040554	300.000032	300.105749	0.0405228196	0	0	0	0	0	3
26	7	0	0.489661037	300.110372	300.04324	300.000032	300.110372	0.0432081029	0	0	0	0	0	3
27	7	0	0.508494154	300.11478	300.045889	300.000032	300.11478	0.0458577569	0	0	0	0	0	3
28	7	0	0.52732727	300.119188	300.050302	300.000078	300.119188	0.0502475607	0	0	0	0	0	3
29	7	0	0.546160387	300.123526	300.054875	300.000125	300.123526	0.0547964318	0	0	0	0	0	3
30	7	0	0.564993504	300.127543	300.059594	300.000174	300.127543	0.0594917439	0	0	0	0	0	3
31	8	0	0.583826621	300.132782	300.064505	300.000232	300.132782	0.0643772598	0	0	0	0	0	3
32	8	0	0.602659738	300.137096	300.069574	300.000389	300.137096	0.0694027485	0	0	0	0	0	3
33	8	0	0.621492854	300.140425	300.074761	300.00102	300.140425	0.0744681131	0	0	0	0	0	3
34	8	0	0.640325971	300.143164	300.080025	300.00393	300.143164	0.0792780901	0	0	0	0	0	3
35	8	0	0.659159088	300.145445	300.085267	300.008989	300.145445	0.0836036722	0	0	0	0	0	3
36	9	0	0.677992205	300.148606	300.090438	300.01144	300.148606	0.0877969723	0	0	0	0	0	3
37	9	0	0.696825322	300.151044	300.095608	300.019589	300.151044	0.091426735	0	0	0	0	0	3
38	9	0	0.715658438	300.152904	300.100546	300.028034	300.152904	0.0943766684	0	0	0	0	0	3
39	9	0	0.734491555	300.154142	300.105217	300.035388	300.154142	0.0967997693	0	0	0	0	0	3
40	10	0	0.753324672	300.155296	300.109658	300.041972	300.155296	0.0988440288	0	0	0	0	0	3
41	10	0	0.772157789	300.156592	300.113903	300.047498	300.156592	0.100643612	0	0	0	0	0	3
42	10	0	0.790990906	300.157851	300.11799	300.054681	300.157851	0.10214193	0	0	0	0	0	3
43	10	0	0.809824023	300.157771	300.121808	300.060872	300.157851	0.096979502	0	0	0	0	0	3
44	10	0	0.828657139	300.157888	300.125401	300.066618	300.157888	0.0912703967	0	0	0	0	0	3
45	11	0	0.847490256	300.158018	300.128787	300.072209	300.158018	0.0858093969	0	0	0	0	0	3
46	11	0	0.866323373	300.157916	300.131961	300.077675	300.158018	0.0803431019	0	0	0	0	0	3
47	11	0	0.88515649	300.15852	300.134955	300.085347	300.15852	0.073172412	0	0	0	0	0	3
48	11	0	0.903989607	300.158317	300.137658	300.092085	300.15852	0.066435086	0	0	0	0	0	3
49	12	0	0.922822723	300.158245	300.140108	300.097631	300.15852	0.0608883742	0	0	0	0	0	3
50	12	0	0.94165584	300.157658	300.142331	300.102105	300.15852	0.05641497	0	0	0	0	0	3
51	12	0	0.960488957	300.157654	300.144389	300.105749	300.15852	0.0527702373	0	0	0	0	0	3
52	12	0	0.979322074	300.157351	300.1463	300.110372	300.15852	0.0481479945	0	0	0	0	0	3
53	12	0	0.998155191	300.157518	300.148046	300.11478	300.15852	0.0437394159	0	0	0	0	0	3
54	13	0	1.01698831	300.157586	300.149631	300.119188	300.15852	0.0393318249	0.00475184991	0	12	0	0	3
55	13	0	1.03582142	300.157581	300.151053	300.123526	300.15852	0.0349937858	0.00475184991	0	13.5	0	0	3
56	13	0	1.05465454	300.157528	300.152313	300.127543	300.15852	0.0309762534	0.00475184991	0	15.3	0	0	3
57	13	0	1.07348766	300.157586	300.153425	300.132782	300.15852	0.0257381913	0.00475184991	0	18.4	0	0	3
58	13	0	1.09232077	300.158314	300.154371	300.137096	300.15852	0.0214238653	0.00475184991	0	22.1	0	0	3
59	14	0	1.11115389	300.158226	300.155154	300.140425	300.15852	0.0180944209	0.00475184991	0	26.2	0	0	3
60	14	0	1.12998701	300.15846	300.155822	300.143164	300.15852	0.0153553016	0.00475184991	0	30.9	0	0	3
61	14	0	1.14882012	300.157716	300.15636	300.145445	300.15852	0.0130743474	0.00475184991	0	36.3	0	0	3
62	14	0	1.16765324	300.158334	300.156838	300.148606	300.15852	0.00991335018	0.00475184991	0	47.9	0	0	3
63	15	0	1.18648636	300.158457	300.157203	300.151044	300.15852	0.00747589964	0.00475184991	0	63.5	0	0	3
64	15	0	1.20531948	300.1585	300.157479	300.152904	300.15852	0.00561527819	0.00475184991	0	84.6	0	0	3
65	15	0	1.22415259	300.157694	300.157656	300.154142	300.15852	0.00437813931	0.00475184991	0	100	0	0	3
66	15	0	1.24298571	300.157888	300.157795	300.155296	300.15852	0.00322421408	0.00475184991	0	100	0	0	3
