Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188331168	6.5287426	6.5287426	6.5287426	6.5287426	0	0	0	0	0	0	3
2	1	0	0.0376662336	10.0242997	8.27652113	6.5287426	10.0242997	1.74777852	0	0	0	0	0	3
3	1	0	0.0564993504	10.1211733	8.89140517	6.5287426	10.1211733	2.36266257	0	0	0	0	0	3
4	1	0	0.0753324672	10.5635856	9.30945029	6.5287426	10.5635856	2.78070769	0	0	0	0	0	3
5	2	0	0.094165584	11.1208571	9.67173164	6.5287426	11.1208571	3.14298904	0	0	0	0	0	3
6	2	0	0.112998701	11.47191	9.97176136	6.5287426	11.47191	3.44301876	0	0	0	0	0	3
7	2	0	0.131831818	10.7812644	10.0874046	6.5287426	11.47191	3.55866205	0	0	0	0	0	3
8	2	0	0.150664934	7.27013928	9.73524648	6.5287426	11.47191	3.55866205	0	0	0	0	0	3
9	2	0	0.169498051	5.35790678	9.2488754	5.35790678	11.47191	3.55866205	0	0	0	0	0	3
10	3	0	0.188331168	5.69588554	8.89357641	5.35790678	11.47191	3.55866205	0	0	0	0	0	3
11	3	0	0.207164285	11.1482932	9.09855067	5.35790678	11.47191	3.55866205	0	0	0	0	0	3
12	3	0	0.225997402	11.594502	9.30654661	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
13	4	0	0.244830518	11.23884	9.45518457	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
14	4	0	0.263663635	10.9534612	9.56220432	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
15	4	0	0.282496752	10.7368859	9.64051643	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
16	4	0	0.301329869	10.5208327	9.6955362	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
17	4	0	0.320162986	10.3803341	9.73581843	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
18	5	0	0.338996102	10.274224	9.76572985	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
19	5	0	0.357829219	10.1764972	9.78734918	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
20	5	0	0.376662336	10.0643086	9.80119716	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
21	5	0	0.395495453	9.92796429	9.80723369	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
22	6	0	0.41432857	9.79825107	9.80682539	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
23	6	0	0.433161686	9.67636422	9.80115316	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
24	6	0	0.451994803	9.57019027	9.79152971	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
25	6	0	0.47082792	9.48597868	9.77930767	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
26	7	0	0.489661037	9.37350107	9.76369972	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
27	7	0	0.508494154	9.29121342	9.74620023	5.35790678	11.594502	3.55866205	0	0	0	0	0	3
28	7	0	0.52732727	9.23377644	9.84638667	5.35790678	11.594502	1.81088352	0	0	0	0	0	3
29	7	0	0.546160387	9.15781444	9.81429462	5.35790678	11.594502	1.19599947	0	0	0	0	0	3
30	7	0	0.564993504	9.0964385	9.77634148	5.35790678	11.594502	1.19382823	0	0	0	0	0	3
31	8	0	0.583826621	9.00674295	9.71868064	5.35790678	11.594502	1.19382823	0	0	0	0	0	3
32	8	0	0.602659738	8.93106482	9.63757723	5.35790678	11.594502	1.19382823	0	0	0	0	0	3
33	8	0	0.621492854	8.84416872	9.54025348	5.35790678	11.594502	1.19382823	0	0	0	0	0	3
34	8	0	0.640325971	8.78181484	9.46619979	5.35790678	11.594502	0.952810253	0	0	0	0	0	3
35	8	0	0.659159088	8.7055101	9.51936167	5.35790678	11.594502	0.952810253	0	0	0	0	0	3
36	9	0	0.677992205	8.64827472	9.64122715	5.69588554	11.594502	0.952810253	0	0	0	0	0	3
37	9	0	0.696825322	8.5999198	9.74878398	8.5999198	11.594502	0.747835997	0	0	0	0	0	3
38	9	0	0.715658438	8.55190148	9.65262132	8.55190148	11.594502	0.539840055	0	0	0	0	0	3
39	9	0	0.734491555	8.50034617	9.53802296	8.50034617	11.23884	0.391202101	0	0	0	0	0	3
40	10	0	0.753324672	8.47120797	9.43551806	8.47120797	10.9534612	0.410868602	0	0	0	0	0	3
41	10	0	0.772157789	8.43512933	9.34224652	8.43512933	10.7368859	0.504140151	0	0	0	0	0	3
