Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188331168	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0376662336	0	0	0	0	0	0	0	0	0	0	3
3	1	0	0.0564993504	0	0	0	0	0	0	0	0	0	0	3
4	1	0	0.0753324672	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.094165584	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.112998701	0	0	0	0	0	0	0	0	0	0	3
7	2	0	0.131831818	0	0	0	0	0	0	0	0	0	0	3
8	2	0	0.150664934	0	0	0	0	0	0	0	0	0	0	3
9	2	0	0.169498051	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.188331168	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.207164285	0	0	0	0	0	0	0	0	0	0	3
12	3	0	0.225997402	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.244830518	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.263663635	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.282496752	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.301329869	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.320162986	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.338996102	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.357829219	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.376662336	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.395495453	0	0	0	0	0	0	0	0	0	0	3
22	6	0	0.41432857	0	0	0	0	0	0	0	0	0	0	3
23	6	0	0.433161686	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.451994803	0	0	0	0	0	0	0	0	0	0	3
25	6	0	0.47082792	0	0	0	0	0	0	0	0	0	0	3
26	7	0	0.489661037	0	0	0	0	0	0	0	0	0	0	3
27	7	0	0.508494154	0	0	0	0	0	0	0	0	0	0	3
28	7	0	0.52732727	0	0	0	0	0	0	0	0	0	0	3
29	7	0	0.546160387	0	0	0	0	0	0	0	0	0	0	3
30	7	0	0.564993504	0	0	0	0	0	0	0	0	0	0	3
31	8	0	0.583826621	0	0	0	0	0	0	0	0	0	0	3
32	8	0	0.602659738	0	0	0	0	0	0	0	0	0	0	3
33	8	0	0.621492854	0	0	0	0	0	0	0	0	0	0	3
34	8	0	0.640325971	0	0	0	0	0	0	0	0	0	0	3
35	8	0	0.659159088	0	0	0	0	0	0	0	0	0	0	3
36	9	0	0.677992205	0	0	0	0	0	0	0	0	0	0	3
37	9	0	0.696825322	0	0	0	0	0	0	0	0	0	0	3
38	9	0	0.715658438	0	0	0	0	0	0	0	0	0	0	3
39	9	0	0.734491555	0	0	0	0	0	0	0	0	0	0	3
40	10	0	0.753324672	0	0	0	0	0	0	0	0	0	0	3
41	10	0	0.772157789	0	0	0	0	0	0	0	0	0	0	3
42	10	0	0.790990906	0	0	0	0	0	0	0	0	0	0	3
43	10	0	0.809824023	0	0	0	0	0	0	0	0	0	0	3
44	10	0	0.828657139	0	0	0	0	0	0	0	0	0	0	3
45	11	0	0.847490256	0	0	0	0	0	0	0	0	0	0	3
46	11	0	0.866323373	0	0	0	0	0	0	0	0	0	0	3
47	11	0	0.88515649	0	0	0	0	0	0	0	0	0	0	3
48	11	0	0.903989607	0	0	0	0	0	0	0	0	0	0	3
49	12	0	0.922822723	0	0	0	0	0	0	0	0	0	0	3
50	12	0	0.94165584	0	0	0	0	0	0	0	0	0	0	3
51	12	0	0.960488957	0	0	0	0	0	0	0	0	0	0	3
52	12	0	0.979322074	0	0	0	0	0	0	0	0	0	0	3
53	12	0	0.998155191	0	0	0	0	0	0	0	0	0	0	3
54	13	0	1.01698831	0	0	0	0	0	0.001	0	0	0	0	3
55	13	0	1.03582142	0	0	0	0	0	0.001	0	0	0	0	3
56	13	0	1.05465454	0	0	0	0	0	0.001	0	0	0	0	3
57	13	0	1.07348766	0	0	0	0	0	0.001	0	0	0	0	3
58	13	0	1.09232077	0	0	0	0	0	0.001	0	0	0	0	3
59	14	0	1.11115389	0	0	0	0	0	0.001	0	0	0	0	3
60	14	0	1.12998701	0	0	0	0	0	0.001	0	0	0	0	3
61	14	0	1.14882012	0	0	0	0	0	0.001	0	0	0	0	3
62	14	0	1.16765324	0	0	0	0	0	0.001	0	0	0	0	3
63	15	0	1.18648636	0	0	0	0	0	0.001	0	0	0	0	3
64	15	0	1.20531948	0	0	0	0	0	0.001	0	0	0	0	3
65	15	0	1.22415259	0	0	0	0	0	0.001	0	0	0	0	3
66	15	0	1.24298571	0	0	0	0	0	0.001	0	0	0	0	3
67	15	0	1.26181883	0	0	0	0	0	0.001	0	0	0	0	3
68	16	0	1.28065194	0	0	0	0	0	0.001	0	0	0	0	3
69	16	0	1.29948506	0	0	0	0	0	0.001	0	0	0	0	3
70	16	0	1.31831818	0	0	0	0	0	0.001	0	0	0	0	3
71	16	0	1.33715129	0	0	0	0	0	0.001	0	0	0	0	3
72	16	0	1.35598441	0	0	0	0	0	0.001	0	0	0	0	3
73	17	0	1.37481753	0	0	0	0	0	0.001	0	0	0	0	3
74	17	0	1.39365064	0	0	0	0	0	0.001	0	0	0	0	3
75	17	0	1.41248376	0	0	0	0	0	0.001	0	0	0	0	3
76	17	0	1.43131688	0	0	0	0	0	0.001	0	0	0	0	3
77	18	0	1.45014999	0	0	0	0	0	0.001	0	0	0	0	3
78	18	0	1.46898311	0	0	0	0	0	0.001	0	0	0	0	3
79	18	0	1.48781623	0	0	0	0	0	0.001	0	0	0	0	3
80	18	0	1.50664934	0	0	0	0	0	0.001	0	0	0	0	3
81	18	0	1.52548246	0	0	0	0	0	0.001	0	0	0	0	3
82	19	0	1.54431558	0	0	0	0	0	0.001	0	0	0	0	3
83	19	0	1.56314869	0	0	0	0	0	0.001	0	0	0	0	3
84	19	0	1.58198181	0	0	0	0	0	0.001	0	0	0	0	3
85	19	0	1.60081493	0	0	0	0	0	0.001	0	0	0	0	3
86	20	0	1.61964805	0	0	0	0	0	0.001	0	0	0	0	3
87	20	0	1.63848116	0	0	0	0	0	0.001	0	0	0	0	3
88	20	0	1.65731428	0	0	0	0	0	0.001	0	0	0	0	3
89	20	0	1.6761474	0	0	0	0	0	0.001	0	0	0	0	3
90	20	0	1.69498051	0	0	0	0	0	0.001	0	0	0	0	3
91	21	0	1.71381363	0	0	0	0	0	0.001	0	0	0	0	3
92	21	0	1.73264675	0	0	0	0	0	0.001	0	0	0	0	3
93	21	0	1.75147986	0	0	0	0	0	0.001	0	0	0	0	3
94	21	0	1.77031298	0	0	0	0	0	0.001	0	0	0	0	3
95	22	0	1.7891461	0	0	0	0	0	0.001	0	0	0	0	3
