Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0188331168	101321.318	101321.318	101321.318	101321.318	0	0	0	0	0	0	3
2	1	0	0.0376662336	101321.318	101321.318	101321.318	101321.318	1.40833436e-07	0	0	0	0	0	3
3	1	0	0.0564993504	101321.318	101321.318	101321.318	101321.318	1.97294867e-07	0	0	0	0	0	3
4	1	0	0.0753324672	101321.318	101321.318	101321.318	101321.318	2.25350959e-07	0	0	0	0	0	3
5	2	0	0.094165584	101321.318	101321.318	101321.318	101321.318	2.47586286e-07	0	0	0	0	0	3
6	2	0	0.112998701	101321.318	101321.318	101321.318	101321.318	2.64233677e-07	0	0	0	0	0	3
7	2	0	0.131831818	101321.318	101321.318	101321.318	101321.318	2.7770875e-07	0	0	0	0	0	3
8	2	0	0.150664934	101321.318	101321.318	101321.318	101321.318	3.0384399e-07	0	0	0	0	0	3
9	2	0	0.169498051	101321.318	101321.318	101321.318	101321.318	4.06362233e-07	0	0	0	0	0	3
10	3	0	0.188331168	101321.318	101321.318	101321.318	101321.318	8.7825174e-07	0	0	0	0	0	3
11	3	0	0.207164285	101321.318	101321.318	101321.318	101321.318	1.55487214e-06	0	0	0	0	0	3
12	3	0	0.225997402	101321.318	101321.318	101321.318	101321.318	2.67739233e-06	0	0	0	0	0	3
13	4	0	0.244830518	101321.318	101321.318	101321.318	101321.318	4.44060424e-06	0	0	0	0	0	3
14	4	0	0.263663635	101321.318	101321.318	101321.318	101321.318	6.84970291e-06	0	0	0	0	0	3
15	4	0	0.282496752	101321.318	101321.318	101321.318	101321.318	9.64404899e-06	0	0	0	0	0	3
16	4	0	0.301329869	101321.318	101321.318	101321.318	101321.318	1.25647348e-05	0	0	0	0	0	3
17	4	0	0.320162986	101321.318	101321.318	101321.318	101321.318	1.56379101e-05	0	0	0	0	0	3
