Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0188331168
2	1	0	0.0376662336
3	1	0	0.0564993504
4	1	0	0.0753324672
5	2	0	0.094165584
6	2	0	0.112998701
7	2	0	0.131831818
8	2	0	0.150664934
9	2	0	0.169498051
10	3	0	0.188331168
11	3	0	0.207164285
12	3	0	0.225997402
13	4	0	0.244830518
14	4	0	0.263663635
15	4	0	0.282496752
16	4	0	0.301329869
17	4	0	0.320162986
18	5	0	0.338996102
19	5	0	0.357829219
20	5	0	0.376662336
21	5	0	0.395495453
22	6	0	0.41432857
23	6	0	0.433161686
24	6	0	0.451994803
25	6	0	0.47082792
26	7	0	0.489661037
27	7	0	0.508494154
28	7	0	0.52732727
29	7	0	0.546160387
30	7	0	0.564993504
31	8	0	0.583826621
32	8	0	0.602659738
33	8	0	0.621492854
34	8	0	0.640325971
35	8	0	0.659159088
36	9	0	0.677992205
37	9	0	0.696825322
38	9	0	0.715658438
39	9	0	0.734491555
40	10	0	0.753324672
41	10	0	0.772157789
42	10	0	0.790990906
43	10	0	0.809824023
44	10	0	0.828657139
45	11	0	0.847490256
46	11	0	0.866323373
47	11	0	0.88515649
48	11	0	0.903989607
49	12	0	0.922822723
50	12	0	0.94165584
51	12	0	0.960488957
52	12	0	0.979322074
53	12	0	0.998155191
54	13	0	1.01698831
55	13	0	1.03582142
56	13	0	1.05465454
57	13	0	1.07348766
58	13	0	1.09232077
59	14	0	1.11115389
60	14	0	1.12998701
61	14	0	1.14882012
62	14	0	1.16765324
63	15	0	1.18648636
64	15	0	1.20531948
65	15	0	1.22415259
66	15	0	1.24298571
67	15	0	1.26181883
68	16	0	1.28065194
69	16	0	1.29948506
70	16	0	1.31831818
71	16	0	1.33715129
72	16	0	1.35598441
73	17	0	1.37481753
74	17	0	1.39365064
75	17	0	1.41248376
76	17	0	1.43131688
77	18	0	1.45014999
78	18	0	1.46898311
79	18	0	1.48781623
80	18	0	1.50664934
81	18	0	1.52548246
82	19	0	1.54431558
83	19	0	1.56314869
84	19	0	1.58198181
85	19	0	1.60081493
86	20	0	1.61964805
87	20	0	1.63848116
88	20	0	1.65731428
89	20	0	1.6761474
90	20	0	1.69498051
91	21	0	1.71381363
92	21	0	1.73264675
93	21	0	1.75147986
94	21	0	1.77031298
95	22	0	1.7891461
